# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
33 1.625 0.576486 15.251
34 1.675 0.659344 16.355
35 1.725 0.822147 17.815
36 1.775 0.97938 19.6565
37 1.825 1.1199 21.8825
38 1.875 1.26711 24.541
39 1.925 1.33916 27.5025
40 1.975 1.33321 30.606
41 2.025 1.33623 33.876
42 2.075 1.33352 37.3025
43 2.125 1.30935 40.831
44 2.175 1.20203 44.2245
45 2.225 1.0442 47.3095
46 2.275 0.938422 50.208
47 2.325 0.818674 52.849
48 2.375 0.743274 55.351
49 2.425 0.712229 57.8505
50 2.475 0.690992 60.3765
500 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0146851 0.0075
20 0.975 0.519022 0.302
21 1.025 2.42629 1.8235
22 1.075 3.72093 4.39
23 1.125 3.11627 6.744
24 1.175 2.08734 8.464
25 1.225 1.32421 9.65
26 1.275 0.917832 10.5405
27 1.325 0.674747 11.2475
28 1.375 0.536176 11.8525
29 1.425 0.470746 12.423
30 1.475 0.425512 12.9755
31 1.525 0.476242 13.6365
32 1.575 0.494446 14.3685
33 1.625 0.545711 15.2285
34 1.675 0.653671 16.323
35 1.725 0.807787 17.7575
36 1.775 0.978849 19.598
37 1.825 1.13977 21.8635
38 1.875 1.26592 24.5195
39 1.925 1.34232 27.488
40 1.975 1.34095 30.6095
41 2.025 1.35339 33.9215
42 2.075 1.35628 37.4065
43 2.125 1.28728 40.8755
44 2.175 1.1891 44.2325
45 2.225 1.05503 47.3495
46 2.275 0.93826 50.2475
47 2.325 0.807204 52.8515
48 2.375 0.734808 55.325
49 2.425 0.704535 57.7975
50 2.475 0.712603 60.4025
600 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00489504 0.0025
20 0.975 0.535765 0.3065
21 1.025 2.49167 1.869
22 1.075 3.64336 4.382
23 1.125 3.07986 6.7085
24 1.175 2.08855 8.4295
25 1.225 1.36496 9.652
26 1.275 0.929169 10.5535
27 1.325 0.647548 11.232
28 1.375 0.527757 11.8275
29 1.425 0.510353 12.446
30 1.475 0.428978 13.003
31 1.525 0.463274 13.646
32 1.575 0.479585 14.356
33 1.625 0.541904 15.21
34 1.675 0.662331 16.319
35 1.725 0.81736 17.7705
36 1.775 0.985762 19.624
37 1.825 1.15687 21.9235
38 1.875 1.2876 24.625
39 1.925 1.31813 27.54
40 1.975 1.31216 30.5945
41 2.025 1.32438 33.8355
42 2.075 1.33177 37.2575
43 2.125 1.29433 40.7455
44 2.175 1.20097 44.136
45 2.225 1.06789 47.291
46 2.275 0.946678 50.215
47 2.325 0.827818 52.8855
48 2.375 0.742829 55.386
49 2.425 0.709806 57.877
50 2.475 0.722041 60.5165
700 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0137061 0.007
20 0.975 0.521666 0.303
21 1.025 2.40636 1.812
22 1.075 3.72673 4.3825
23 1.125 3.11759 6.7375
24 1.175 2.06246 8.437
25 1.225 1.37278 9.6665
26 1.275 0.921954 10.561
27 1.325 0.678088 11.2715
28 1.375 0.536619 11.877
29 1.425 0.467445 12.4435
30 1.475 0.436679 13.0105
31 1.525 0.444901 13.628
32 1.575 0.474182 14.33
33 1.625 0.565065 15.2205
34 1.675 0.642622 16.2965
35 1.725 0.800748 17.7185
36 1.775 0.987092 19.5745
37 1.825 1.16844 21.897
38 1.875 1.26711 24.5555
39 1.925 1.31089 27.4545
40 1.975 1.36135 30.6235
41 2.025 1.34665 33.919
42 2.075 1.35239 37.394
43 2.125 1.29377 40.8805
44 2.175 1.18432 44.224
45 2.225 1.07314 47.3945
46 2.275 0.921586 50.241
