# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
35300 -6.40944
35400 -6.40214
35500 -6.40424
35600 -6.39574
35700 -6.39966
35800 -6.40381
35900 -6.39779
36000 -6.40349
36100 -6.38459
36200 -6.40067
36300 -6.41637
36400 -6.39249
36500 -6.39799
36600 -6.38092
36700 -6.3785
36800 -6.4003
36900 -6.3968
37000 -6.40863
37100 -6.40263
37200 -6.38341
37300 -6.37522
37400 -6.38933
37500 -6.40051
37600 -6.4097
37700 -6.40496
37800 -6.4062
37900 -6.38732
38000 -6.39622
38100 -6.40074
38200 -6.38752
38300 -6.38203
38400 -6.40313
38500 -6.37899
38600 -6.39613
38700 -6.38379
38800 -6.39098
38900 -6.40271
39000 -6.40117
39100 -6.37568
39200 -6.37717
39300 -6.38022
39400 -6.38222
39500 -6.39044
39600 -6.38939
39700 -6.40889
39800 -6.39895
39900 -6.39292
40000 -6.39838
40100 -6.38925
40200 -6.38541
40300 -6.37647
40400 -6.4098
40500 -6.38558
40600 -6.38805
40700 -6.37023
40800 -6.39637
40900 -6.39074
41000 -6.40655
41100 -6.40948
41200 -6.38899
41300 -6.3847
41400 -6.37222
41500 -6.37447
41600 -6.40024
41700 -6.40519
41800 -6.40728
41900 -6.39046
42000 -6.40028
42100 -6.39445
42200 -6.38008
42300 -6.4003
42400 -6.40704
42500 -6.39578
42600 -6.40145
42700 -6.38125
42800 -6.38494
42900 -6.39923
43000 -6.40486
43100 -6.40272
43200 -6.39259
43300 -6.36877
43400 -6.37824
43500 -6.41139
43600 -6.4055
43700 -6.40816
43800 -6.39206
43900 -6.39789
44000 -6.39456
44100 -6.41074
44200 -6.41407
44300 -6.40048
44400 -6.38202
44500 -6.38973
44600 -6.39601
44700 -6.38952
44800 -6.41031
44900 -6.3973
45000 -6.3951
45100 -6.38089
45200 -6.40247
45300 -6.39183
45400 -6.39647
45500 -6.39065
45600 -6.40233
45700 -6.39159
45800 -6.38321
45900 -6.385
46000 -6.40118
46100 -6.41168
46200 -6.38984
46300 -6.40088
46400 -6.39479
46500 -6.39925
46600 -6.39512
46700 -6.38702
46800 -6.38844
46900 -6.3771
47000 -6.36447
47100 -6.37457
47200 -6.38108
47300 -6.39525
47400 -6.39312
47500 -6.38552
47600 -6.36714
47700 -6.37097
47800 -6.37996
47900 -6.39611
48000 -6.41177
48100 -6.39362
48200 -6.39964
48300 -6.3849
48400 -6.36645
48500 -6.39272
48600 -6.40488
48700 -6.40298
48800 -6.38914
48900 -6.38774
49000 -6.37171
49100 -6.38138
49200 -6.38325
49300 -6.38087
49400 -6.38895
49500 -6.39183
49600 -6.40265
49700 -6.40598
49800 -6.39945
49900 -6.38146
50000 -6.39417
50100 -6.3883
50200 -6.41696
50300 -6.42071
50400 -6.38102
50500 -6.38514
50600 -6.39903
50700 -6.41758
50800 -6.39941
50900 -6.40088
51000 -6.40784
51100 -6.40363
51200 -6.39924
51300 -6.40158
51400 -6.37948
51500 -6.38181
51600 -6.39223
51700 -6.39919
51800 -6.39191
51900 -6.37329
52000 -6.37736
52100 -6.37352
52200 -6.38373
52300 -6.39244
52400 -6.39445
52500 -6.39704
52600 -6.38423
52700 -6.39271
52800 -6.403
52900 -6.39062
53000 -6.40028
53100 -6.38712
53200 -6.38977
53300 -6.40188
53400 -6.39468
53500 -6.38936
53600 -6.38978
53700 -6.3859
53800 -6.39615
53900 -6.40266
54000 -6.39503
54100 -6.38943
54200 -6.40229
54300 -6.40304
54400 -6.40486
54500 -6.39716
54600 -6.40762
54700 -6.39956
54800 -6.39053
